#chr	pos	class	strand	S1	S2
Chr1	125	CHG	G	40/80.0/4/1	40/80.0/4/1
Chr1	126	CHH	G	40/66.7/4/2	40/20.0/1/4
Chr1	135	CHH	C	40/18.2/6/27	40/12.0/3/22
Chr1	139	CHH	G	0	40/100.0/6/0
Chr1	141	CHH	G	0	40/83.3/5/1
Chr1	150	CHH	G	40/100.0/3/0	40/80.0/4/1
Chr1	161	CG	C	40/46.7/21/24	40/55.3/21/17
Chr1	162	CG	G	40/66.7/2/1	40/100.0/2/0
Chr1	177	CHH	C	40/34.0/16/31	40/33.3/13/26
Chr1	183	CHH	G	40/75.0/3/1	40/100.0/2/0
Chr1	190	CHH	G	40/50.0/2/2	40/100.0/3/0
Chr1	193	CHH	G	40/40.0/2/3	40/66.7/2/1
Chr1	209	CHH	C	40/21.2/7/26	40/28.1/9/23
Chr1	216	CHH	G	40/33.3/2/4	40/0.0/0/2
Chr1	217	CHH	G	40/16.7/1/5	40/33.3/1/2
Chr1	219	CHH	C	40/28.9/11/27	40/37.8/14/23
Chr1	224	CHH	C	40/40.5/15/22	40/30.6/11/25
Chr1	229	CHH	C	40/27.3/9/24	40/22.5/9/31
Chr1	230	CHH	C	40/41.2/14/20	40/38.5/15/24
Chr1	236	CHH	C	40/39.4/13/20	40/20.5/9/35
Chr1	239	CHH	G	40/33.3/2/4	40/42.9/3/4
Chr1	242	CHH	G	40/16.7/1/5	40/28.6/2/5
Chr1	247	CHH	C	40/17.9/7/32	40/25.6/11/32
Chr1	251	CHH	C	40/20.0/8/32	40/15.0/6/34
Chr1	252	CHH	C	40/19.0/8/34	40/16.2/6/31
Chr1	255	CHH	C	40/23.9/11/35	40/29.7/11/26
Chr1	257	CHH	C	0	40/23.7/9/29
Chr1	261	CHH	G	40/14.3/1/6	40/57.1/4/3
Chr1	266	CHH	G	40/37.5/3/5	40/50.0/3/3
Chr1	267	CHH	G	40/28.6/2/5	40/50.0/3/3
Chr1	270	CHH	G	40/14.3/1/6	40/33.3/2/4
Chr1	271	CHH	G	40/14.3/1/6	40/50.0/3/3
Chr1	277	CHH	C	40/14.5/10/59	40/25.0/10/30
Chr1	280	CHH	C	40/15.5/11/60	40/18.9/7/30
Chr1	285	CHH	G	40/40.0/2/3	40/66.7/4/2
Chr1	293	CHH	G	0	40/40.0/2/3
Chr1	294	CHH	G	40/50.0/3/3	40/33.3/2/4
Chr1	298	CHH	C	40/25.8/17/49	40/16.3/7/36
Chr1	301	CHH	G	0	40/20.0/1/4
Chr1	302	CHH	C	40/14.5/10/59	40/7.1/3/39
Chr1	306	CHH	G	40/25.0/1/3	40/66.7/4/2
Chr1	307	CHH	C	40/33.3/24/48	40/18.2/8/36
Chr1	310	CG	C	0	40/80.0/16/4
Chr1	311	CG	G	40/33.3/2/4	40/0.0/0/6
Chr1	314	CHH	C	40/25.0/18/54	40/25.5/13/38
Chr1	322	CHH	G	40/20.0/1/4	40/0.0/0/4
Chr1	323	CHH	G	40/20.0/1/4	40/0.0/0/4
Chr1	324	CHH	G	40/0.0/0/7	40/50.0/1/1
Chr1	328	CHH	G	40/0.0/0/7	40/0.0/0/3
Chr1	330	CHH	G	40/0.0/0/6	40/0.0/0/2
Chr1	332	CHH	G	40/20.0/1/4	40/0.0/0/2
Chr1	334	CHH	C	40/9.5/8/76	40/11.4/5/39
Chr1	336	CHH	C	40/21.2/18/67	40/29.8/14/33
Chr1	342	CHH	G	0	40/33.3/1/2
Chr1	346	CHH	C	40/0.0/0/80	40/4.1/2/47
Chr1	347	CHH	C	40/21.0/17/64	40/14.6/7/41
Chr1	351	CHH	G	40/66.7/2/1	40/33.3/1/2
Chr1	353	CHH	G	40/33.3/1/2	40/100.0/2/0
Chr1	356	CHH	G	40/33.3/1/2	40/0.0/0/2
Chr1	357	CHH	G	40/0.0/0/3	40/0.0/0/2
Chr1	363	CHH	C	40/51.3/40/38	40/51.2/22/21
Chr1	368	CHH	G	40/0.0/0/3	40/0.0/0/2
Chr1	372	CHH	C	40/2.7/2/71	40/2.3/1/42
Chr1	382	CHH	G	40/0.0/0/5	40/0.0/0/1
Chr1	386	CHH	G	40/0.0/0/5	40/0.0/0/1
Chr1	387	CHH	G	40/0.0/0/5	40/0.0/0/1
Chr1	389	CHG	C	40/23.5/19/62	40/10.4/5/43
Chr1	391	CHG	G	40/0.0/0/5	40/100.0/1/0
Chr1	401	CHH	G	40/16.7/1/5	0
Chr1	404	CHH	C	40/0.0/0/77	40/0.0/0/50
Chr1	412	CHH	G	40/42.9/3/4	0
Chr1	414	CHH	C	40/0.0/0/67	40/4.1/2/47
Chr1	418	CHH	C	40/6.8/4/55	40/8.7/4/42
Chr1	422	CHH	C	40/1.9/1/51	40/6.7/3/42
Chr1	424	CHH	C	40/0.0/0/50	40/2.2/1/44
Chr1	425	CHH	C	40/0.0/0/49	40/8.9/4/41
Chr1	429	CHH	G	40/66.7/4/2	0
Chr1	431	CHH	G	40/20.0/1/4	0
Chr1	432	CHH	G	40/0.0/0/5	0
Chr1	437	CHH	G	40/0.0/0/5	0
Chr1	441	CHH	G	40/40.0/2/3	40/100.0/1/0
Chr1	444	CHH	C	0	40/19.5/8/33
Chr1	448	CHH	C	40/9.7/3/28	40/13.5/5/32
Chr1	456	CHH	C	40/3.2/1/30	40/5.1/2/37
Chr1	461	CHH	G	40/85.7/6/1	40/100.0/1/0
Chr1	463	CHH	G	40/0.0/0/7	40/0.0/0/1
Chr1	464	CHH	G	40/0.0/0/6	40/0.0/0/1
Chr1	477	CHH	G	40/25.0/2/6	40/100.0/1/0
Chr1	480	CHH	G	40/44.4/4/5	40/100.0/1/0
Chr1	485	CHH	G	40/33.3/3/6	40/0.0/0/1
Chr1	488	CHH	G	40/0.0/0/9	0
Chr1	491	CHH	G	40/22.2/2/7	40/0.0/0/1
Chr1	493	CHH	C	40/14.7/5/29	40/2.7/1/36
Chr1	497	CHH	C	40/13.5/5/32	40/5.1/2/37
Chr1	500	CG	C	40/63.9/23/13	40/70.0/28/12
Chr1	501	CG	G	40/100.0/10/0	40/100.0/1/0
Chr1	504	CHH	G	40/20.0/2/8	40/50.0/1/1
Chr1	507	CHH	G	40/50.0/5/5	40/0.0/0/3
Chr1	512	CG	G	40/20.0/2/8	40/33.3/1/2
Chr1	513	CHH	C	40/11.4/5/39	40/5.3/2/36
Chr1	516	CHH	G	40/30.0/3/7	40/0.0/0/2
Chr1	518	CHH	C	40/13.7/7/44	40/5.1/2/37
Chr1	521	CHH	C	40/14.0/7/43	40/7.7/3/36
Chr1	523	CHH	C	40/7.8/4/47	40/7.7/3/36
Chr1	526	CHH	C	40/11.8/6/45	40/5.1/2/37
Chr1	528	CHH	C	40/4.0/2/48	40/5.1/2/37
Chr1	530	CHH	C	40/52.0/26/24	40/39.5/15/23
Chr1	539	CHH	G	40/0.0/0/12	0
Chr1	540	CHH	G	40/9.1/1/10	40/0.0/0/2
Chr1	541	CHH	G	40/0.0/0/12	40/0.0/0/2
Chr1	544	CHH	G	40/8.3/1/11	40/0.0/0/3
Chr1	545	CHH	G	40/0.0/0/12	40/0.0/0/2
Chr1	547	CHH	C	40/3.6/2/53	40/0.0/0/33
Chr1	548	CHH	C	40/5.5/3/52	40/0.0/0/34
Chr1	554	CHH	C	40/0.0/0/51	40/0.0/0/29
Chr1	564	CHG	G	40/0.0/0/16	40/0.0/0/3
Chr1	567	CHH	G	40/0.0/0/17	40/0.0/0/2
Chr1	570	CHH	C	40/10.8/4/33	40/3.0/1/32
Chr1	575	CHG	G	40/29.4/5/12	40/66.7/2/1
Chr1	576	CHH	C	40/3.1/1/31	40/0.0/0/32
Chr1	579	CHH	G	40/5.9/1/16	40/33.3/1/2
Chr1	582	CHH	G	40/0.0/0/15	40/100.0/1/0
Chr1	590	CHH	C	40/0.0/0/31	40/0.0/0/23
Chr1	591	CHH	C	40/0.0/0/30	40/0.0/0/23
Chr1	595	CHH	G	40/14.3/2/12	40/100.0/2/0
Chr1	596	CHH	C	40/0.0/0/28	40/0.0/0/20
Chr1	597	CHH	C	40/25.9/7/20	40/11.1/2/16
Chr1	602	CHH	G	40/8.3/1/11	40/100.0/1/0
Chr1	603	CHH	G	40/0.0/0/12	40/0.0/0/1
Chr1	607	CHH	G	40/33.3/4/8	40/100.0/1/0
Chr1	608	CHH	G	40/16.7/2/10	40/0.0/0/1
Chr1	610	CHH	G	40/0.0/0/10	40/100.0/1/0
Chr1	611	CHH	G	40/0.0/0/10	40/0.0/0/1
Chr1	615	CHH	G	40/50.0/6/6	40/100.0/2/0
Chr1	618	CHH	G	40/11.1/1/8	40/100.0/2/0
Chr1	620	CHH	C	40/0.0/0/23	40/0.0/0/13
Chr1	622	CHH	C	40/8.7/2/21	40/0.0/0/9
Chr1	625	CHH	C	40/8.3/1/11	40/0.0/0/7
Chr1	630	CHH	C	40/9.1/1/10	40/14.3/1/6
Chr1	637	CHH	G	40/0.0/0/2	0
Chr1	638	CHH	C	40/10.0/1/9	40/0.0/0/9
Chr1	642	CG	C	40/90.9/10/1	40/100.0/7/0
Chr1	643	CG	G	40/100.0/2/0	0
Chr1	644	CHH	C	40/0.0/0/11	40/0.0/0/8
Chr1	645	CHH	C	40/0.0/0/11	40/12.5/1/7
Chr1	647	CG	C	40/66.7/6/3	40/100.0/8/0
Chr1	648	CG	G	40/0.0/0/1	0
Chr1	650	CG	C	40/80.0/8/2	40/70.0/7/3
Chr1	651	CG	G	40/50.0/1/1	40/100.0/1/0
Chr1	654	CHH	G	40/0.0/0/2	40/0.0/0/1
Chr1	655	CHH	C	40/0.0/0/10	40/0.0/0/10
Chr1	657	CHH	C	40/27.3/3/8	40/22.2/2/7
Chr1	663	CHH	C	40/0.0/0/8	40/11.1/1/8
Chr1	667	CHH	C	40/0.0/0/6	40/0.0/0/7
Chr1	668	CHH	C	40/0.0/0/6	40/0.0/0/8
Chr1	671	CHH	G	40/0.0/0/2	40/0.0/0/1
Chr1	674	CHH	G	40/0.0/0/2	40/0.0/0/1
Chr1	675	CHH	C	40/0.0/0/4	40/0.0/0/8
Chr1	677	CHH	C	40/0.0/0/4	40/11.1/1/8
Chr1	679	CHH	C	40/0.0/0/4	40/11.1/1/8
Chr1	685	CHH	G	40/0.0/0/2	40/0.0/0/1
Chr1	686	CHH	G	40/0.0/0/2	40/0.0/0/1
Chr1	687	CHH	C	40/0.0/0/6	40/10.0/1/9
Chr1	689	CHH	C	40/0.0/0/6	40/0.0/0/7
Chr1	691	CHH	C	0	40/50.0/2/2
Chr1	698	CHH	G	40/0.0/0/5	0
Chr1	707	CHH	G	40/60.0/3/2	40/0.0/0/1
Chr1	710	CHH	G	40/0.0/0/5	40/0.0/0/1
Chr1	714	CHH	G	40/33.3/2/4	40/0.0/0/1
Chr1	719	CHH	G	40/16.7/1/5	40/0.0/0/1
Chr1	720	CHH	C	40/0.0/0/11	40/0.0/0/7
Chr1	723	CHH	C	40/0.0/0/12	40/0.0/0/8
Chr1	727	CHH	G	40/16.7/1/5	40/0.0/0/2
Chr1	730	CHH	G	40/0.0/0/6	40/0.0/0/2
Chr1	733	CHH	G	40/0.0/0/6	40/0.0/0/2
Chr1	737	CHH	C	40/18.2/2/9	40/0.0/0/5
Chr1	739	CHH	C	40/15.4/2/11	40/0.0/0/5
Chr1	743	CHH	G	40/0.0/0/8	40/0.0/0/2
Chr1	744	CHH	C	40/0.0/0/8	40/25.0/1/3
Chr1	751	CHH	C	40/9.1/1/10	40/0.0/0/6
Chr1	752	CHH	C	40/10.0/1/9	40/0.0/0/6
Chr1	754	CHH	C	40/7.7/1/12	40/33.3/2/4
Chr1	763	CHH	G	40/50.0/5/5	40/0.0/0/1
Chr1	765	CHH	G	40/10.0/1/9	40/0.0/0/3
Chr1	767	CHH	G	40/27.3/3/8	40/0.0/0/3
Chr1	772	CHH	G	40/25.0/3/9	40/25.0/1/3
Chr1	773	CHH	G	40/9.1/1/10	40/25.0/1/3
Chr1	776	CHH	G	40/0.0/0/12	40/50.0/2/2
Chr1	780	CHH	C	40/50.0/5/5	40/0.0/0/1
Chr1	783	CHH	G	40/8.3/1/11	40/60.0/3/2
Chr1	785	CHH	C	40/55.6/5/4	40/33.3/1/2
Chr1	788	CHH	C	40/55.6/5/4	40/33.3/1/2
Chr1	790	CG	C	40/100.0/7/0	40/100.0/3/0
Chr1	791	CG	G	40/76.9/10/3	40/50.0/2/2
Chr1	792	CHG	G	40/92.3/12/1	40/100.0/4/0
Chr1	795	CHG	C	0	40/66.7/2/1
Chr1	797	CHG	G	40/100.0/11/0	40/100.0/3/0
Chr1	798	CHH	C	40/60.0/3/2	40/33.3/1/2
Chr1	802	CHH	G	40/60.0/6/4	40/33.3/1/2
Chr1	805	CHH	C	40/50.0/2/2	40/0.0/0/3
Chr1	808	CHG	C	40/0.0/0/1	40/66.7/2/1
Chr1	809	CG	C	40/100.0/2/0	40/100.0/2/0
Chr1	810	CG	G	40/100.0/12/0	40/100.0/4/0
Chr1	811	CHH	C	40/50.0/1/1	40/0.0/0/2
Chr1	812	CHG	C	40/100.0/2/0	40/50.0/1/1
Chr1	814	CHG	G	40/90.9/10/1	40/100.0/3/0
Chr1	824	CHH	C	40/100.0/1/0	40/0.0/0/3
Chr1	825	CHH	C	0	40/0.0/0/3
Chr1	832	CHH	C	40/0.0/0/1	40/0.0/0/3
Chr1	833	CHH	C	0	40/0.0/0/3
Chr1	837	CHH	G	40/25.0/3/9	40/60.0/3/2
Chr1	839	CG	C	0	40/100.0/2/0
Chr1	840	CG	G	40/100.0/12/0	40/60.0/3/2
Chr1	843	CHH	G	40/36.4/4/7	40/75.0/3/1
Chr1	850	CHH	G	40/30.0/3/7	40/75.0/3/1
Chr1	851	CHH	G	40/25.0/2/6	40/66.7/2/1
Chr1	856	CHG	C	0	40/100.0/1/0
Chr1	858	CHG	G	40/57.1/4/3	40/100.0/2/0
Chr1	862	CHH	G	40/14.3/1/6	40/33.3/2/4
Chr1	864	CHH	C	0	40/100.0/1/0
Chr1	869	CHH	C	0	40/0.0/0/1
Chr1	901	CHH	G	40/16.7/1/5	40/0.0/0/5
Chr1	904	CG	C	40/100.0/1/0	40/100.0/2/0
Chr1	905	CG	G	40/100.0/6/0	40/100.0/5/0
Chr1	907	CHH	C	40/0.0/0/1	40/0.0/0/2
Chr1	909	CHH	C	40/0.0/0/1	40/0.0/0/2
Chr1	911	CG	C	40/100.0/1/0	40/50.0/1/1
Chr1	912	CG	G	40/100.0/5/0	40/85.7/6/1
Chr1	917	CHH	C	40/0.0/0/1	40/50.0/1/1
Chr1	919	CHH	C	40/0.0/0/1	40/50.0/1/1
Chr1	927	CHG	C	40/0.0/0/1	40/50.0/1/1
Chr1	929	CHG	G	40/0.0/0/3	40/60.0/3/2
Chr1	935	CHH	C	40/0.0/0/1	40/50.0/1/1
Chr1	938	CHH	C	40/0.0/0/1	40/50.0/1/1
Chr1	940	CHH	C	40/0.0/0/1	40/50.0/1/1
Chr1	946	CHH	C	40/0.0/0/1	40/50.0/1/1
Chr1	947	CHG	C	40/0.0/0/1	40/50.0/1/1
Chr1	948	CG	C	40/100.0/2/0	40/50.0/1/1
Chr1	949	CG	G	40/33.3/1/2	40/60.0/3/2
Chr1	955	CHH	C	40/50.0/1/1	0
Chr1	956	CHH	C	40/50.0/1/1	40/0.0/0/1
Chr1	957	CHH	C	40/0.0/0/1	40/0.0/0/1
Chr1	959	CHH	C	40/0.0/0/2	40/0.0/0/1
Chr1	963	CHH	C	40/0.0/0/1	0
Chr1	968	CHH	G	0	40/0.0/0/2
Chr1	969	CHH	C	40/0.0/0/2	0
Chr1	973	CHH	C	40/0.0/0/2	0
Chr1	979	CHH	G	40/0.0/0/4	40/0.0/0/1
Chr1	980	CHH	C	40/0.0/0/1	0
Chr1	985	CHH	G	40/0.0/0/4	40/0.0/0/2
Chr1	991	CHH	G	40/0.0/0/3	40/0.0/0/1
Chr1	993	CHH	C	40/0.0/0/1	0
Chr1	996	CHH	C	40/0.0/0/1	0
Chr1	1001	CHH	G	40/0.0/0/3	40/0.0/0/1
Chr1	1002	CHH	G	40/0.0/0/2	40/0.0/0/1
Chr1	1016	CHH	G	40/0.0/0/2	40/0.0/0/1
Chr1	1019	CHH	G	40/0.0/0/2	40/0.0/0/1
Chr1	1024	CHH	C	40/0.0/0/3	0
Chr1	1025	CHH	C	40/0.0/0/2	0
Chr1	1027	CHH	C	40/0.0/0/2	0
Chr1	1032	CHH	G	40/0.0/0/1	40/0.0/0/1
Chr1	1034	CHH	C	40/0.0/0/2	0
Chr1	1039	CHH	G	40/0.0/0/1	0
Chr1	1042	CHH	C	40/0.0/0/2	0
Chr1	1045	CHH	G	40/0.0/0/1	0
Chr1	1047	CHH	G	40/0.0/0/1	0
Chr1	1050	CHH	G	40/0.0/0/1	0
Chr1	1051	CHG	C	40/0.0/0/1	0
Chr1	1053	CHG	G	40/0.0/0/1	0
Chr1	1057	CHH	G	40/0.0/0/1	0
Chr1	1059	CHH	G	40/0.0/0/1	0
Chr1	1060	CHH	G	40/0.0/0/1	0
Chr1	1061	CHH	C	40/0.0/0/1	0
Chr1	1064	CHH	C	40/0.0/0/1	0
Chr1	1066	CHH	C	40/0.0/0/1	0
Chr1	1067	CHH	C	40/0.0/0/1	0
Chr1	1068	CHH	C	40/0.0/0/1	0
Chr1	1070	CHH	C	40/0.0/0/1	0
Chr1	1071	CHH	C	40/0.0/0/1	0
Chr1	1227	CHG	C	40/0.0/0/2	0
Chr1	1235	CHH	C	40/0.0/0/2	0
Chr1	1236	CHH	C	40/0.0/0/2	0
Chr1	1238	CHH	C	40/0.0/0/2	0
Chr1	1239	CHH	C	40/0.0/0/2	0
Chr1	1246	CHH	C	40/0.0/0/2	0
Chr1	1248	CHH	C	40/0.0/0/2	0
Chr1	1251	CHG	C	40/0.0/0/2	0
Chr1	1254	CHH	C	40/0.0/0/2	0
Chr1	1264	CHH	C	40/0.0/0/2	0
Chr1	1268	CHH	C	40/0.0/0/2	0
Chr1	1287	CHH	C	40/0.0/0/2	0
Chr1	1291	CHH	C	40/0.0/0/2	40/0.0/0/2
Chr1	1304	CHG	C	40/0.0/0/2	40/0.0/0/2
Chr1	1308	CHH	G	40/0.0/0/1	0
Chr1	1312	CHH	C	40/0.0/0/1	40/0.0/0/2
Chr1	1314	CHH	C	40/0.0/0/2	40/0.0/0/2
Chr1	1315	CHH	C	40/0.0/0/2	40/0.0/0/2
Chr1	1319	CHH	G	40/0.0/0/1	0
Chr1	1322	CHH	C	0	40/0.0/0/2
Chr1	1323	CHG	C	0	40/0.0/0/2
Chr1	1324	CG	C	0	40/0.0/0/2
Chr1	1325	CG	G	40/0.0/0/1	0
Chr1	1327	CHH	G	40/0.0/0/1	0
Chr1	1332	CHH	C	0	40/0.0/0/2
Chr1	1335	CHH	C	0	40/0.0/0/2
Chr1	1337	CHH	C	0	40/0.0/0/2
Chr1	1339	CHH	C	0	40/0.0/0/2
Chr1	1343	CHH	C	0	40/0.0/0/2
Chr1	1351	CHH	C	40/0.0/0/2	40/0.0/0/2
Chr1	1355	CHH	C	40/0.0/0/2	40/0.0/0/2
Chr1	1359	CHH	C	40/0.0/0/3	40/0.0/0/4
Chr1	1362	CHH	G	40/0.0/0/1	0
Chr1	1374	CHH	G	40/0.0/0/1	0
Chr1	1376	CHH	G	40/0.0/0/1	0
Chr1	1379	CHH	G	40/0.0/0/1	0
Chr1	1382	CHH	G	40/0.0/0/1	0
Chr1	1388	CHH	G	40/0.0/0/1	0
Chr1	1390	CHH	G	40/0.0/0/1	0
Chr1	1391	CHH	G	40/0.0/0/1	0
Chr1	1394	CHH	C	40/0.0/0/6	40/0.0/0/4
Chr1	1395	CHH	C	40/0.0/0/6	40/0.0/0/4
Chr1	1399	CHH	G	40/0.0/0/1	0
Chr1	1403	CHH	C	40/0.0/0/6	40/0.0/0/5
Chr1	1407	CHH	G	40/0.0/0/1	0
Chr1	1410	CHH	C	40/0.0/0/6	40/0.0/0/6
Chr1	1433	CHG	C	40/0.0/0/9	40/0.0/0/5
Chr1	1439	CG	C	40/0.0/0/10	40/0.0/0/6
Chr1	1472	CHH	C	40/0.0/0/6	40/0.0/0/6
Chr1	1475	CHH	C	40/0.0/0/7	40/0.0/0/6
Chr1	1477	CHH	C	40/0.0/0/7	40/0.0/0/6
Chr1	1496	CHH	C	40/0.0/0/8	40/0.0/0/10
Chr1	1501	CHH	C	40/0.0/0/8	40/0.0/0/7
Chr1	1505	CHH	C	40/0.0/0/9	40/0.0/0/7
Chr1	1508	CHH	G	40/0.0/0/1	0
Chr1	1509	CHH	G	40/0.0/0/1	0
Chr1	1510	CHH	G	40/0.0/0/1	0
Chr1	1513	CHH	G	40/0.0/0/1	0
Chr1	1515	CHH	C	40/0.0/0/9	40/0.0/0/6
Chr1	1516	CHH	C	40/0.0/0/9	40/0.0/0/7
Chr1	1517	CHH	C	40/0.0/0/8	40/0.0/0/7
Chr1	1518	CHH	C	40/0.0/0/7	40/0.0/0/6
Chr1	1523	CHH	G	40/0.0/0/1	0
Chr1	1524	CHH	G	40/0.0/0/1	0
Chr1	1526	CHH	C	40/0.0/0/9	40/0.0/0/8
Chr1	1529	CHH	C	40/0.0/0/9	40/0.0/0/6
Chr1	1532	CHH	G	40/0.0/0/1	0
Chr1	1534	CHH	G	40/0.0/0/1	0
Chr1	1538	CHH	G	40/0.0/0/1	0
Chr1	1539	CHH	C	40/0.0/0/6	40/0.0/0/5
Chr1	1541	CG	C	40/0.0/0/6	40/0.0/0/9
Chr1	1542	CG	G	40/0.0/0/2	0
Chr1	1544	CHH	G	40/0.0/0/2	0
Chr1	1546	CHH	C	40/0.0/0/8	40/0.0/0/10
Chr1	1549	CHH	G	40/0.0/0/2	0
Chr1	1552	CHH	C	40/0.0/0/7	40/0.0/0/10
Chr1	1556	CHH	C	40/0.0/0/7	40/0.0/0/6
Chr1	1561	CHH	G	40/0.0/0/1	0
Chr1	1565	CHH	G	40/0.0/0/1	0
Chr1	1566	CHH	G	40/0.0/0/1	0
Chr1	1567	CHH	G	40/0.0/0/1	0
Chr1	1572	CHH	C	40/0.0/0/6	40/0.0/0/9
Chr1	1575	CHH	C	40/0.0/0/6	40/0.0/0/8
Chr1	1582	CHG	C	40/0.0/0/6	40/0.0/0/8
Chr1	1584	CHG	G	40/0.0/0/1	0
Chr1	1590	CHH	G	40/0.0/0/1	0
Chr1	1591	CHH	G	40/0.0/0/1	0
Chr1	1594	CHH	G	40/0.0/0/1	0
Chr1	1597	CHH	G	40/0.0/0/1	0
Chr1	1599	CHH	G	40/0.0/0/1	0
Chr1	1603	CHH	G	40/0.0/0/1	0
Chr1	1606	CHH	G	40/0.0/0/1	0
Chr1	1611	CHH	G	40/0.0/0/1	0
Chr1	1612	CHH	G	40/0.0/0/1	0
Chr1	1614	CHH	C	40/0.0/0/7	40/0.0/0/7
Chr1	1615	CHG	C	40/0.0/0/7	40/0.0/0/8
Chr1	1617	CHG	G	40/0.0/0/1	0
Chr1	1621	CHH	G	40/0.0/0/2	0
Chr1	1623	CHH	G	40/0.0/0/2	0
Chr1	1624	CHH	G	40/0.0/0/2	0
Chr1	1625	CHH	C	40/0.0/0/7	40/0.0/0/9
Chr1	1626	CHH	C	40/0.0/0/7	40/0.0/0/7
Chr1	1629	CHH	G	40/0.0/0/3	40/0.0/0/1
Chr1	1630	CHH	G	40/0.0/0/3	40/0.0/0/1
Chr1	1633	CHG	C	40/0.0/0/4	40/0.0/0/6
Chr1	1634	CG	C	40/0.0/0/3	40/0.0/0/5
Chr1	1635	CG	G	40/0.0/0/3	40/0.0/0/1
Chr1	1637	CHH	C	40/0.0/0/3	40/0.0/0/6
Chr1	1642	CHH	G	40/0.0/0/3	40/0.0/0/1
Chr1	1643	CHH	G	40/0.0/0/3	40/0.0/0/1
Chr1	1645	CHH	G	40/0.0/0/3	40/0.0/0/1
Chr1	1649	CG	C	40/0.0/0/3	40/0.0/0/4
Chr1	1650	CG	G	40/0.0/0/3	40/0.0/0/1
Chr1	1655	CHH	C	40/0.0/0/1	40/0.0/0/2
Chr1	1660	CHH	C	40/0.0/0/1	40/0.0/0/2
Chr1	1662	CHH	C	40/0.0/0/1	40/0.0/0/2
Chr1	1663	CHH	C	40/0.0/0/1	40/0.0/0/2
Chr1	1669	CHH	G	40/0.0/0/1	40/0.0/0/2
Chr1	1675	CHH	G	40/0.0/0/1	40/0.0/0/2
Chr1	1686	CHH	G	40/0.0/0/1	40/0.0/0/2
Chr1	1688	CHH	G	40/0.0/0/1	40/0.0/0/3
Chr1	1691	CHH	C	0	40/0.0/0/1
Chr1	1694	CHH	C	0	40/0.0/0/1
Chr1	1695	CHH	C	0	40/0.0/0/1
Chr1	1716	CHH	G	40/0.0/0/2	40/0.0/0/1
Chr1	1721	CHH	G	40/0.0/0/1	40/0.0/0/4
Chr1	1722	CHH	G	40/0.0/0/1	40/0.0/0/4
Chr1	1730	CHH	C	40/100.0/1/0	40/0.0/0/1
Chr1	1734	CHH	C	40/50.0/1/1	0
